Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.15-8.8.4.4-54650-853-6,192.168.20.15,54650,8.8.4.4,853,6,15/09/2020 04:07:11 PM,20061195,9,6,758.0,646.0,517.0,0.0,84.22222222222223,170.40083463541032,499.0,0.0,107.66666666666666,200.5279697864282,69.98586076253184,0.7477121876338871,1432942.5000000002,4160160.9820398088,1.5186789E7,243.0,2.0061195E7,2507649.375,5391209.256829569,1.5186789E7,243.0,1.5252294E7,3050458.8,6808692.386834031,1.5230218E7,5247.0,0,0,0,0,308,200,0.4486273125803323,0.29908487505355486,0.0,517.0,120.0625,200.56435999449155,40226.0625,1,2,0,5,14,0,0,0,0.0,128.06666666666666,84.22222222222223,107.66666666666667,0,0,0,0,5,55231,0,50,0,43,65535,240,3,32,0,0,0,0,1.600186033976867E15,6933312.930328044,1.600186051077715E15,1.600186031023069E15,No Label
192.168.20.33-52.46.137.70-51162-443-6,192.168.20.33,51162,52.46.137.70,443,6,15/09/2020 04:07:34 PM,395905,12,10,1054.0,7061.0,711.0,0.0,87.83333333333334,205.4656942536917,1460.0,0.0,706.1,671.9641938212019,20497.34153395385,55.56888647529079,18852.61904761905,33288.44700714678,91766.0,54.0,395905.0,35991.36363636364,41494.27400322296,93523.0,54.0,311631.0,34625.666666666664,47090.6038026696,110586.0,104.0,0,0,0,0,272,212,30.310301713794974,25.25858476149581,0.0,1460.0,352.8260869565217,553.6394176204248,306516.60474308307,1,2,0,8,21,0,0,0,0.0,368.8636363636364,87.83333333333333,706.1,0,0,0,0,11,26063,0,47,0,320,65535,32752,4,20,0,0,0,0,1.600186054730038E15,83092.81256927077,1.600186054939726E15,1.600186054549066E15,No Label
192.168.20.33-52.46.137.70-51172-443-6,192.168.20.33,51172,52.46.137.70,443,6,15/09/2020 04:07:40 PM,398711,8,7,1045.0,548.0,745.0,0.0,130.625,259.01127250703644,396.0,0.0,78.28571428571429,151.1177402840958,3995.3750962476583,37.62123442794405,28479.357142857138,42519.3832696556,125559.0,59.0,398711.0,56958.71428571429,54378.652538517,129819.0,59.0,314957.0,52492.833333333336,56652.57517683257,136504.0,381.0,0,0,0,0,180,152,20.06465836157016,17.55657606637389,0.0,745.0,99.5625,204.5202414595354,41828.52916666667,1,2,0,6,14,0,0,0,0.0,106.2,130.625,78.28571428571429,0,0,0,0,6,5062,0,69,0,36,65535,464,4,20,0,0,0,0,1.6001860608423545E15,121345.19050041086,1.600186061029908E15,1.600186060646451E15,No Label
192.168.20.15-172.217.18.202-39868-443-6,192.168.20.15,39868,172.217.18.202,443,6,15/09/2020 04:07:52 PM,168,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,184523.80952380953,11904.761904761905,168.0,0.0,168.0,168.0,168.0,168.0,0.0,168.0,168.0,0,0,0,0,0,1,0,0,0,64,0,11904.761904761905,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,742,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.20.29-52.94.232.195-55954-443-6,192.168.20.29,55954,52.94.232.195,443,6,15/09/2020 04:07:57 PM,381857,12,10,1052.0,7061.0,709.0,0.0,87.66666666666667,204.9143206022429,1460.0,0.0,706.1,671.9641938212019,21246.173305713917,57.613190278036015,18183.66666666667,29941.828107738063,82137.0,62.0,381857.0,34714.27272727273,39791.22739019471,100365.0,62.0,289480.0,32164.444444444445,43282.00097647725,104227.0,70.0,0,0,0,0,272,212,31.425376515292374,26.187813762743644,0.0,1460.0,352.73913043478257,553.5807584503658,306451.65612648224,1,2,0,8,21,0,0,0,0.0,368.77272727272725,87.66666666666667,706.1,0,0,0,0,11,26601,0,47,0,320,65535,460,4,20,0,0,0,0,1.6001860779146518E15,78929.1599760679,1.600186078109133E15,1.600186077749183E15,No Label
192.168.20.29-52.94.232.195-55956-443-6,192.168.20.29,55956,52.94.232.195,443,6,15/09/2020 04:08:00 PM,407529,8,7,1051.0,548.0,751.0,0.0,131.375,261.045117884684,396.0,0.0,78.28571428571429,151.1177402840958,3923.64715149106,36.8071965430681,29109.21428571428,42378.95045561865,127305.0,54.0,407529.0,58218.42857142858,56110.75576588723,128536.0,54.0,319645.0,53274.166666666664,58389.49716658525,144379.0,335.0,0,0,0,0,180,152,19.630504822969655,17.176691720098447,0.0,751.0,99.9375,205.7841810408824,42347.129166666666,1,2,0,6,14,0,0,0,0.0,106.6,131.375,78.28571428571429,0,0,0,0,6,4911,0,70,0,36,65535,32752,4,20,0,0,0,0,1.60018608036393E15,124268.42792510965,1.600186080558025E15,1.600186080166919E15,No Label
192.168.20.29-52.94.232.195-55958-443-6,192.168.20.29,55958,52.94.232.195,443,6,15/09/2020 04:08:00 PM,407070,8,8,1041.0,577.0,741.0,0.0,130.125,257.65615930649017,374.0,0.0,72.125,133.0761731383303,3974.746358120225,39.305279190311246,27138.0,45287.90126985983,139167.0,54.0,407070.0,58152.85714285713,56961.463889863204,140369.0,54.0,322718.0,46102.57142857143,57976.42621174328,142577.0,81.0,0,0,0,0,180,172,19.652639595155623,19.652639595155623,0.0,741.0,95.1764705882353,195.53651682426153,38234.529411764706,1,2,0,7,15,0,0,0,1.0,101.125,130.125,72.125,0,0,0,0,7,5069,0,65,0,36,65535,32752,4,20,0,0,0,0,1.6001860803942565E15,132274.85237373557,1.600186080580304E15,1.600186080179035E15,No Label
192.168.20.29-52.94.232.195-55958-443-6,192.168.20.29,55958,52.94.232.195,443,6,15/09/2020 04:08:00 PM,81848,2,2,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,25.5,36.062445840513924,623.1062457237806,48.871078095982796,27282.666666666668,23328.393865273567,45897.0,1113.0,47010.0,47010.0,0.0,47010.0,47010.0,35951.0,35951.0,0.0,35951.0,35951.0,0,0,0,0,40,40,24.435539047991398,24.435539047991398,0.0,51.0,10.2,22.807893370497855,520.2,1,0,2,1,2,0,0,0,1.0,12.75,0.0,25.5,0,0,0,0,0,0,0,0,0,12,0,32751,0,20,0,0,0,0,1.600186080581956E15,0.0,1.600186080581956E15,1.600186080581956E15,No Label
192.168.20.29-52.94.232.195-55960-443-6,192.168.20.29,55960,52.94.232.195,443,6,15/09/2020 04:08:00 PM,368421,8,8,1029.0,577.0,729.0,0.0,128.625,253.5946920918158,374.0,0.0,72.125,133.0761731383303,4359.14347987764,43.42857763265395,24561.4,40199.06211912342,122604.0,54.0,368421.0,52631.57142857142,51456.24604411384,123842.0,54.0,289843.0,41406.14285714286,51276.67619697598,126622.0,104.0,0,0,0,0,180,172,21.714288816326974,21.714288816326974,0.0,729.0,94.47058823529412,193.06544151111652,37274.26470588235,1,2,0,7,15,0,0,0,1.0,100.375,128.625,72.125,0,0,0,0,7,5515,0,64,0,36,65535,32752,4,20,0,0,0,0,1.6001860805387542E15,119100.65661300888,1.60018608070948E15,1.600186080344194E15,No Label
192.168.20.29-52.94.232.195-55960-443-6,192.168.20.29,55960,52.94.232.195,443,6,15/09/2020 04:08:00 PM,74015,2,2,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,25.5,36.062445840513924,689.0495169897994,54.04309937174897,24671.666666666664,24590.58857232444,51066.0,2408.0,22949.0,22949.0,0.0,22949.0,22949.0,53474.0,53474.0,0.0,53474.0,53474.0,0,0,0,0,40,40,27.021549685874486,27.021549685874486,0.0,51.0,10.2,22.807893370497855,520.2,1,0,2,1,2,0,0,0,1.0,12.75,0.0,25.5,0,0,0,0,0,0,0,0,0,12,0,32751,0,20,0,0,0,0,1.600186080712119E15,0.0,1.600186080712119E15,1.600186080712119E15,No Label
